,artist_name,track_name,album_name,release_date,artist_popularity,track_popularity,artist_genres,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Hit,Dance_miss,Energy_miss,Valence_miss,decade_maker,decades,Spain,variable,value
874,Mariah Carey,#Beautiful - Album Version (Edited),NOW Pop Icons,2020-03-06,76,36,"['dance pop', 'pop', 'r&b', 'urban contemporary']",4,-5.405,1,0.0391,0.346,0.0,0.347,107.048,audio_features,4zizqK3nIOj9BwChgAtV1E,spotify:track:4zizqK3nIOj9BwChgAtV1E,https://api.spotify.com/v1/tracks/4zizqK3nIOj9BwChgAtV1E,https://api.spotify.com/v1/audio-analysis/4zizqK3nIOj9BwChgAtV1E,199867,4,0,1,1,1,2020,2020s,all_popular,energy,0.749
875,Amy Winehouse,Rehab,Back To Black,2006-10-27,73,64,"['british soul', 'indie r&b', 'neo soul']",0,-2.974,1,0.0702,0.0473,1.83e-06,0.396,71.515,audio_features,1L5tZi0izXsi5Kk5OJf4W0,spotify:track:1L5tZi0izXsi5Kk5OJf4W0,https://api.spotify.com/v1/tracks/1L5tZi0izXsi5Kk5OJf4W0,https://api.spotify.com/v1/audio-analysis/1L5tZi0izXsi5Kk5OJf4W0,213760,4,0,1,0,1,2006,2000s,all_popular,energy,0.872
876,Train,Drops of Jupiter (Tell Me),Drops Of Jupiter,2001-03-27,72,78,"['dance pop', 'neo mellow', 'pop', 'pop rock']",0,-5.862,1,0.0276,0.153,0.0,0.154,79.064,audio_features,2hKdd3qO7cWr2Jo0Bcs0MA,spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,https://api.spotify.com/v1/tracks/2hKdd3qO7cWr2Jo0Bcs0MA,https://api.spotify.com/v1/audio-analysis/2hKdd3qO7cWr2Jo0Bcs0MA,259933,4,0,1,1,1,2001,2000s,all_popular,energy,0.638
877,The Lumineers,Ho Hey,The Lumineers (Deluxe Edition),2012,76,79,"['folk-pop', 'stomp and holler']",0,-9.182,1,0.0301,0.765,0.0,0.0908,79.907,audio_features,1K3LRUEcUz5FMtPYyg0F45,spotify:track:1K3LRUEcUz5FMtPYyg0F45,https://api.spotify.com/v1/tracks/1K3LRUEcUz5FMtPYyg0F45,https://api.spotify.com/v1/audio-analysis/1K3LRUEcUz5FMtPYyg0F45,163133,4,0,1,1,1,2012,2010s,all_popular,energy,0.471
878,Khalid,Free Spirit,Free Spirit,2019-04-05,85,65,"['pop', 'pop r&b']",2,-9.477,0,0.0332,0.308,0.00077,0.111,139.994,audio_features,2kAIpGWnlFLQh48iut6Zzq,spotify:track:2kAIpGWnlFLQh48iut6Zzq,https://api.spotify.com/v1/tracks/2kAIpGWnlFLQh48iut6Zzq,https://api.spotify.com/v1/audio-analysis/2kAIpGWnlFLQh48iut6Zzq,182080,4,0,1,1,1,2019,2020s,all_popular,energy,0.446
879,Noah Kahan,Someone Like You (feat. Joy Oladokun),I Was / I Am,2021-09-17,69,68,"['pop', 'pop rock', 'uk pop']",5,-7.492,1,0.0603,0.468,0.0,0.0939,177.913,audio_features,0hiHNxqKGf3GZgVTIOAiiK,spotify:track:0hiHNxqKGf3GZgVTIOAiiK,https://api.spotify.com/v1/tracks/0hiHNxqKGf3GZgVTIOAiiK,https://api.spotify.com/v1/audio-analysis/0hiHNxqKGf3GZgVTIOAiiK,186552,4,0,1,1,1,2021,2020s,all_popular,energy,0.526
880,Brooks & Dunn,Neon Moon - with Kacey Musgraves,Reboot,2019-04-05,69,67,"['contemporary country', 'country', 'country road', 'country rock']",3,-7.623,1,0.033,0.167,2.33e-05,0.0718,102.881,audio_features,3lVPtkNFoIyPPGVdNri4VH,spotify:track:3lVPtkNFoIyPPGVdNri4VH,https://api.spotify.com/v1/tracks/3lVPtkNFoIyPPGVdNri4VH,https://api.spotify.com/v1/audio-analysis/3lVPtkNFoIyPPGVdNri4VH,278200,4,0,1,1,1,2019,2020s,all_popular,energy,0.552
881,The Goo Goo Dolls,Iris,Dizzy up the Girl,1998-09-11,70,84,"['neo mellow', 'permanent wave', 'pop rock']",11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,155.925,audio_features,6Qyc6fS4DsZjB2mRW9DsQs,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,https://api.spotify.com/v1/tracks/6Qyc6fS4DsZjB2mRW9DsQs,https://api.spotify.com/v1/audio-analysis/6Qyc6fS4DsZjB2mRW9DsQs,289533,3,0,1,1,1,1998,1990s,all_popular,energy,0.715
882,Five For Fighting,100 Years,The Battle For Everything,2004-02-03,59,56,"['acoustic pop', 'neo mellow', 'piano rock', 'pop rock']",7,-7.459,1,0.0276,0.544,2.17e-05,0.178,120.507,audio_features,0B5KeB25moPkcQUnbDvj3t,spotify:track:0B5KeB25moPkcQUnbDvj3t,https://api.spotify.com/v1/tracks/0B5KeB25moPkcQUnbDvj3t,https://api.spotify.com/v1/audio-analysis/0B5KeB25moPkcQUnbDvj3t,244600,4,0,1,1,1,2004,2000s,all_popular,energy,0.569
883,John Mayer,Your Body Is a Wonderland,Room For Squares,2001-08-16,77,74,"['neo mellow', 'singer-songwriter']",5,-6.251,1,0.0236,0.0206,0.0489,0.134,94.01,audio_features,7vFv0yFGMJW3qVXbAd9BK9,spotify:track:7vFv0yFGMJW3qVXbAd9BK9,https://api.spotify.com/v1/tracks/7vFv0yFGMJW3qVXbAd9BK9,https://api.spotify.com/v1/audio-analysis/7vFv0yFGMJW3qVXbAd9BK9,249627,4,0,1,1,1,2001,2000s,all_popular,energy,0.729
