artist_name,track_name,track_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,duration_ms,time_signature
O-Zone,Dragostea din tei,67,"['bubblegum dance', 'eurodance', 'europop', 'moldovan pop']",0.802,0.966,0,-3.933,1,0.0424,0.18,0.0,0.0611,0.684,130.099,https://api.spotify.com/v1/tracks/52Zr0sinhWTCRrQhRRY4EP,215387,4
The Refrescos,Aquí No Hay Playa,57,['spanish new wave'],0.583,0.949,9,-8.121,1,0.0385,0.277,0.00175,0.144,0.954,168.178,https://api.spotify.com/v1/tracks/4PRJD9T23GQKQYKhJQcGGY,217627,4
Jennifer Lopez,El Anillo,59,"['dance pop', 'pop', 'pop rap', 'urban contemporary']",0.87,0.691,2,-4.11,0,0.18,0.0248,0.0,0.0861,0.469,130.056,https://api.spotify.com/v1/tracks/2SpfMQ5TuKsMj1trNwrLVA,176816,4
Michel Teló,Ai Se Eu Te Pego,60,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",0.651,0.92,11,-6.964,1,0.0665,0.096,0.0,0.971,0.735,96.02,https://api.spotify.com/v1/tracks/0INaMqjJJe1BZpnWuCxDzt,170893,4
Banda Blanca,Sopa de Caracol,62,"['musica hondurena', 'punta', 'punta rock', 'tropical']",0.927,0.544,3,-14.621,1,0.0769,0.308,1.03e-05,0.312,0.961,124.283,https://api.spotify.com/v1/tracks/4V8uHuLaBRxQ02H4YNCOO7,293907,4
Roberto Torres,El Tractor Amarillo,37,"['charanga', 'latin jazz', 'musica tradicional cubana', 'salsa']",0.591,0.495,9,-13.313,1,0.0364,0.0905,1.3e-05,0.179,0.948,146.065,https://api.spotify.com/v1/tracks/5AvJR9iKNGE5gYQYFk9Psa,403733,4
Tata Golosa,Micromania - Los Microfonos Remix,21,[],0.791,0.74,7,-5.852,1,0.0453,0.0415,0.000115,0.0762,0.698,130.032,https://api.spotify.com/v1/tracks/6jZ3v0vZQ8dWcyhu3AmNtC,182769,4
No Me Pises Que Llevo Chanclas,El Canario,34,"['spanish new wave', 'spanish pop']",0.632,0.954,11,-6.862,1,0.12,0.714,0.0,0.0956,0.535,114.144,https://api.spotify.com/v1/tracks/483Mpgv3ri4eUD5mJvHnaI,206000,4
La Batucada Murguera,Mueve tu cucu,32,[],0.854,0.904,7,-7.549,1,0.0416,0.194,0.00038,0.114,0.956,105.014,https://api.spotify.com/v1/tracks/4Ex4XxdVJA9zKaEdhnngVp,213000,4
El Koala,Opa Yo Viaze Un Corra,44,[],0.664,0.724,9,-6.149,1,0.0742,0.0265,0.0,0.0389,0.831,141.959,https://api.spotify.com/v1/tracks/29xwXTI483gmpvr6pKSag0,179867,4
Kate Ryan,Ella Elle L A,59,"['belgian pop', 'bubblegum dance', 'eurodance', 'europop']",0.56,0.861,4,-4.383,0,0.033,0.00283,4.98e-05,0.229,0.561,124.917,https://api.spotify.com/v1/tracks/2uWK6uBDfyg78xfiH1iiFP,184693,4
Camila Cabello,Bam Bam (feat. Ed Sheeran),90,"['dance pop', 'pop', 'post-teen pop']",0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,https://api.spotify.com/v1/tracks/0QBzMgT7NIeoCYy3sJCof1,206071,4
ROSALÍA,DESPECHÁ,91,['r&b en espanol'],0.919,0.623,7,-6.521,1,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,https://api.spotify.com/v1/tracks/5ildQOEKmJuWGl2vRkFdYc,157018,4
Daddy Yankee,La Despedida,72,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",0.745,0.994,2,-2.194,0,0.0497,0.0909,0.0546,0.0684,0.972,122.049,https://api.spotify.com/v1/tracks/33a2zTGZocgU9XVDDILHM3,202827,4
