,artist_name,track_name,album_name,release_date,artist_popularity,track_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Spanish Hit,Hit,Dance_miss,Energy_miss,Valence_miss
10,Proyecto Uno,Tiburon,El Poder de la Música,1998-08-25,54,56,"['latin', 'latin house', 'tropical']",0.868,0.852,0,-9.403,1,0.0474,0.198,5.3e-05,0.0502,0.907,130.155,audio_features,26T9IOS6Bi9iOUjKkcZsZo,spotify:track:26T9IOS6Bi9iOUjKkcZsZo,https://api.spotify.com/v1/tracks/26T9IOS6Bi9iOUjKkcZsZo,https://api.spotify.com/v1/audio-analysis/26T9IOS6Bi9iOUjKkcZsZo,302333,4,"(1, 0, 0, 0)",1,0,0,0
11,Carlos Baute,Colgando en tus manos (con Marta Sánchez),De mi puño y letra - Edicion Coleccionista,2009,63,77,"['latin', 'latin pop', 'spanish pop']",0.836,0.637,6,-4.803,1,0.0367,0.535,0.0,0.129,0.875,120.025,audio_features,3UI9I3e1g1y5T3SMfdgfGO,spotify:track:3UI9I3e1g1y5T3SMfdgfGO,https://api.spotify.com/v1/tracks/3UI9I3e1g1y5T3SMfdgfGO,https://api.spotify.com/v1/audio-analysis/3UI9I3e1g1y5T3SMfdgfGO,230280,4,[0 0 1 0],0,0,1,0
12,Gente De Zona,La Gozadera (feat. Marc Anthony),Visualízate,2016-04-22,70,74,"['cubaton', 'latin', 'latin hip hop', 'latin pop']",0.616,0.989,9,-1.698,0,0.0483,0.166,0.0,0.172,0.902,95.036,audio_features,0OMRAvrtLWE2TvcXorRiB9,spotify:track:0OMRAvrtLWE2TvcXorRiB9,https://api.spotify.com/v1/tracks/0OMRAvrtLWE2TvcXorRiB9,https://api.spotify.com/v1/audio-analysis/0OMRAvrtLWE2TvcXorRiB9,203160,4,[0 1 0 0],0,1,0,0
13,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),2010-05-07,85,80,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",0.766,0.873,11,-6.381,0,0.143,0.00627,0.0,0.0764,0.743,126.988,audio_features,2Cd9iWfcOpGDHLz6tVA3G4,spotify:track:2Cd9iWfcOpGDHLz6tVA3G4,https://api.spotify.com/v1/tracks/2Cd9iWfcOpGDHLz6tVA3G4,https://api.spotify.com/v1/audio-analysis/2Cd9iWfcOpGDHLz6tVA3G4,202627,4,[0 0 0 1],0,0,0,1
14,Los Cantantes,El Venao,El Virao,1995-07-07,48,58,['tropical'],0.841,0.88,11,-11.386,1,0.0684,0.213,0.000905,0.0501,0.875,131.55,audio_features,66y4liRr8Orq45N0I6VRAP,spotify:track:66y4liRr8Orq45N0I6VRAP,https://api.spotify.com/v1/tracks/66y4liRr8Orq45N0I6VRAP,https://api.spotify.com/v1/audio-analysis/66y4liRr8Orq45N0I6VRAP,292800,4,"(1, 0, 0, 0)",1,0,0,0
15,Las Ketchup,The Ketchup Song (Aserejé) - Spanish Version,Aserejé (The Ketchup Song),2018-04-13,52,61,[],0.602,0.947,1,-5.642,1,0.115,0.00842,6.41e-05,0.123,0.883,184.976,audio_features,6NG2IIXZfC5Notpz0GIODU,spotify:track:6NG2IIXZfC5Notpz0GIODU,https://api.spotify.com/v1/tracks/6NG2IIXZfC5Notpz0GIODU,https://api.spotify.com/v1/audio-analysis/6NG2IIXZfC5Notpz0GIODU,213000,4,[0 1 0 0],0,1,0,0
16,Enrique Iglesias,Bailando - Spanish Version,SEX AND LOVE,2014-01-01,76,41,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']",0.718,0.792,7,-3.519,1,0.105,0.0467,3.65e-06,0.0399,0.96,90.949,audio_features,0OozoN53XvHPASSHHkPGhR,spotify:track:0OozoN53XvHPASSHHkPGhR,https://api.spotify.com/v1/tracks/0OozoN53XvHPASSHHkPGhR,https://api.spotify.com/v1/audio-analysis/0OozoN53XvHPASSHHkPGhR,243387,4,"(1, 0, 0, 0)",1,0,0,0
17,Don Omar,Danza Kuduro,Meet The Orphans,2010-01-01,79,75,"['latin', 'latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino']",0.699,0.917,0,-4.897,1,0.115,0.078,0.0,0.065,0.889,130.04,audio_features,6DXLO8LndZMVOHM0wNbpzg,spotify:track:6DXLO8LndZMVOHM0wNbpzg,https://api.spotify.com/v1/tracks/6DXLO8LndZMVOHM0wNbpzg,https://api.spotify.com/v1/audio-analysis/6DXLO8LndZMVOHM0wNbpzg,198787,4,[0 1 0 0],0,1,0,0
18,O-Zone,Dragostea din tei,DiscO-Zone,2004-02-23,57,67,"['bubblegum dance', 'eurodance', 'europop', 'moldovan pop']",0.802,0.966,0,-3.933,1,0.0424,0.18,0.0,0.0611,0.684,130.099,audio_features,52Zr0sinhWTCRrQhRRY4EP,spotify:track:52Zr0sinhWTCRrQhRRY4EP,https://api.spotify.com/v1/tracks/52Zr0sinhWTCRrQhRRY4EP,https://api.spotify.com/v1/audio-analysis/52Zr0sinhWTCRrQhRRY4EP,215387,4,[0 0 0 1],0,0,0,1
19,The Refrescos,Aquí No Hay Playa,The Refrescos,1989-01-01,39,57,['spanish new wave'],0.583,0.949,9,-8.121,1,0.0385,0.277,0.00175,0.144,0.954,168.178,audio_features,4PRJD9T23GQKQYKhJQcGGY,spotify:track:4PRJD9T23GQKQYKhJQcGGY,https://api.spotify.com/v1/tracks/4PRJD9T23GQKQYKhJQcGGY,https://api.spotify.com/v1/audio-analysis/4PRJD9T23GQKQYKhJQcGGY,217627,4,[0 1 0 0],0,1,0,0
20,Jennifer Lopez,El Anillo,El Anillo,2018-04-26,75,59,"['dance pop', 'pop', 'pop rap', 'urban contemporary']",0.87,0.691,2,-4.11,0,0.18,0.0248,0.0,0.0861,0.469,130.056,audio_features,2SpfMQ5TuKsMj1trNwrLVA,spotify:track:2SpfMQ5TuKsMj1trNwrLVA,https://api.spotify.com/v1/tracks/2SpfMQ5TuKsMj1trNwrLVA,https://api.spotify.com/v1/audio-analysis/2SpfMQ5TuKsMj1trNwrLVA,176816,4,[0 0 1 1],0,0,1,1
